"","sample","treatment","replicate","timepoint","treatment_replicate","exp_group"
"ENRIQ_1_S2_L001","ENRIQ_1","B","1","T_0","B_1","B_T_0"
"ENRIQ_10_S11_L001","ENRIQ_10","FS","1","T_0","FS_1","FS_T_0"
"ENRIQ_11_S12_L001","ENRIQ_11","FS","2","T_0","FS_2","FS_T_0"
"ENRIQ_12_S13_L001","ENRIQ_12","FS","3","T_0","FS_3","FS_T_0"
"ENRIQ_13_S14_L001","ENRIQ_13","B","1","T_6","B_1","B_T_6"
"ENRIQ_14_S15_L001","ENRIQ_14","B","2","T_6","B_2","B_T_6"
"ENRIQ_15_S16_L001","ENRIQ_15","B","3","T_6","B_3","B_T_6"
"ENRIQ_16_S17_L001","ENRIQ_16","F","1","T_6","F_1","F_T_6"
"ENRIQ_17_S18_L001","ENRIQ_17","F","2","T_6","F_2","F_T_6"
"ENRIQ_18_S19_L001","ENRIQ_18","F","3","T_6","F_3","F_T_6"
"ENRIQ_19_S20_L001","ENRIQ_19","S","1","T_6","S_1","S_T_6"
"ENRIQ_2_S3_L001","ENRIQ_2","B","2","T_0","B_2","B_T_0"
"ENRIQ_20_S21_L001","ENRIQ_20","S","2","T_6","S_2","S_T_6"
"ENRIQ_21_S22_L001","ENRIQ_21","S","3","T_6","S_3","S_T_6"
"ENRIQ_22_S23_L001","ENRIQ_22","FS","1","T_6","FS_1","FS_T_6"
"ENRIQ_23_S24_L001","ENRIQ_23","FS","2","T_6","FS_2","FS_T_6"
"ENRIQ_24_S25_L001","ENRIQ_24","FS","3","T_6","FS_3","FS_T_6"
"ENRIQ_25_S26_L001","ENRIQ_25","B","1","T_24","B_1","B_T_24"
"ENRIQ_26_S27_L001","ENRIQ_26","B","2","T_24","B_2","B_T_24"
"ENRIQ_27_S28_L001","ENRIQ_27","B","3","T_24","B_3","B_T_24"
"ENRIQ_28_S29_L001","ENRIQ_28","F","1","T_24","F_1","F_T_24"
"ENRIQ_29_S30_L001","ENRIQ_29","F","2","T_24","F_2","F_T_24"
"ENRIQ_3_S4_L001","ENRIQ_3","B","3","T_0","B_3","B_T_0"
"ENRIQ_30_S31_L001","ENRIQ_30","F","3","T_24","F_3","F_T_24"
"ENRIQ_31_S32_L001","ENRIQ_31","S","1","T_24","S_1","S_T_24"
"ENRIQ_32_S33_L001","ENRIQ_32","S","2","T_24","S_2","S_T_24"
"ENRIQ_33_S34_L001","ENRIQ_33","S","3","T_24","S_3","S_T_24"
"ENRIQ_34_S35_L001","ENRIQ_34","FS","1","T_24","FS_1","FS_T_24"
"ENRIQ_35_S36_L001","ENRIQ_35","FS","2","T_24","FS_2","FS_T_24"
"ENRIQ_36_S37_L001","ENRIQ_36","FS","3","T_24","FS_3","FS_T_24"
"ENRIQ_4_S5_L001","ENRIQ_4","F","1","T_0","F_1","F_T_0"
"ENRIQ_5_S6_L001","ENRIQ_5","F","2","T_0","F_2","F_T_0"
"ENRIQ_6_S7_L001","ENRIQ_6","F","3","T_0","F_3","F_T_0"
"ENRIQ_7_S8_L001","ENRIQ_7","S","1","T_0","S_1","S_T_0"
"ENRIQ_8_S9_L001","ENRIQ_8","S","2","T_0","S_2","S_T_0"
"ENRIQ_9_S10_L001","ENRIQ_9","S","3","T_0","S_3","S_T_0"
