"sample_name","sample_id","treatment","replicate","treatment_replicate","timepoint","exp_group","richness","shannon","simpson","inv_simpson"
"ENRIQ_1_S2_L001","ENRIQ_1","B",1,"B_1","T_0","B_T_0",143,4.02580136582134,0.970915590197932,34.3826815398848
"ENRIQ_10_S11_L001","ENRIQ_10","FS",1,"FS_1","T_0","FS_T_0",176,4.11472667358693,0.97181196380088,35.476043557487
"ENRIQ_11_S12_L001","ENRIQ_11","FS",2,"FS_2","T_0","FS_T_0",139,4.00317694620391,0.970382149577181,33.7634225888846
"ENRIQ_12_S13_L001","ENRIQ_12","FS",3,"FS_3","T_0","FS_T_0",187,4.15233318552364,0.973135013772571,37.2231718838175
"ENRIQ_13_S14_L001","ENRIQ_13","B",1,"B_1","T_6","B_T_6",153,3.72509755336022,0.95632307871933,22.8953866407835
"ENRIQ_14_S15_L001","ENRIQ_14","B",2,"B_2","T_6","B_T_6",87,3.37552031886125,0.943220423976252,17.6119666617754
"ENRIQ_15_S16_L001","ENRIQ_15","B",3,"B_3","T_6","B_T_6",140,3.56169130570787,0.946350162290067,18.6393853678863
"ENRIQ_16_S17_L001","ENRIQ_16","F",1,"F_1","T_6","F_T_6",117,3.51292132080617,0.945393508949656,18.3128412165883
"ENRIQ_17_S18_L001","ENRIQ_17","F",2,"F_2","T_6","F_T_6",117,3.52989740694399,0.949003240173598,19.6090889578887
"ENRIQ_18_S19_L001","ENRIQ_18","F",3,"F_3","T_6","F_T_6",153,3.65328431074696,0.94998604983838,19.9944214917738
"ENRIQ_19_S20_L001","ENRIQ_19","S",1,"S_1","T_6","S_T_6",138,3.59498808467288,0.949396653615909,19.7615389387447
"ENRIQ_2_S3_L001","ENRIQ_2","B",2,"B_2","T_0","B_T_0",110,3.82900270960397,0.9660496345185,29.4547639124802
"ENRIQ_20_S21_L001","ENRIQ_20","S",2,"S_2","T_6","S_T_6",158,3.69765980229194,0.95418866116828,21.8286569548497
"ENRIQ_21_S22_L001","ENRIQ_21","S",3,"S_3","T_6","S_T_6",114,3.49372404223047,0.946685991199984,18.7567962437613
"ENRIQ_22_S23_L001","ENRIQ_22","FS",1,"FS_1","T_6","FS_T_6",107,3.50094345931133,0.950472270118512,20.1907093741798
"ENRIQ_23_S24_L001","ENRIQ_23","FS",2,"FS_2","T_6","FS_T_6",115,3.48658388317052,0.9468884650688,18.82830163533
"ENRIQ_24_S25_L001","ENRIQ_24","FS",3,"FS_3","T_6","FS_T_6",128,3.48304724167758,0.94294474453412,17.5268692048538
"ENRIQ_25_S26_L001","ENRIQ_25","B",1,"B_1","T_24","B_T_24",174,3.88287410543648,0.964346425099755,28.047678326729
"ENRIQ_26_S27_L001","ENRIQ_26","B",2,"B_2","T_24","B_T_24",56,3.25077432436683,0.946371441142999,18.6467811426085
"ENRIQ_27_S28_L001","ENRIQ_27","B",3,"B_3","T_24","B_T_24",184,3.88484465274041,0.963121276228802,27.1159058053138
"ENRIQ_28_S29_L001","ENRIQ_28","F",1,"F_1","T_24","F_T_24",144,3.68158553778815,0.954978296034783,22.2115093816216
"ENRIQ_29_S30_L001","ENRIQ_29","F",2,"F_2","T_24","F_T_24",125,3.73964598471387,0.960818953645294,25.5225445218334
"ENRIQ_3_S4_L001","ENRIQ_3","B",3,"B_3","T_0","B_T_0",124,3.89761509375748,0.966656993258472,29.9912964584118
"ENRIQ_30_S31_L001","ENRIQ_30","F",3,"F_3","T_24","F_T_24",114,3.63043190739035,0.955232935552488,22.3378506574283
"ENRIQ_31_S32_L001","ENRIQ_31","S",1,"S_1","T_24","S_T_24",101,3.54156915465833,0.951861632378215,20.7734505635261
"ENRIQ_32_S33_L001","ENRIQ_32","S",2,"S_2","T_24","S_T_24",154,3.8404327936547,0.962994511131367,27.0230182217001
"ENRIQ_33_S34_L001","ENRIQ_33","S",3,"S_3","T_24","S_T_24",146,3.73282702561148,0.955813186830737,22.6311862810601
"ENRIQ_34_S35_L001","ENRIQ_34","FS",1,"FS_1","T_24","FS_T_24",179,3.91180103453602,0.965037043286879,28.6017000279819
"ENRIQ_35_S36_L001","ENRIQ_35","FS",2,"FS_2","T_24","FS_T_24",142,3.76278130196568,0.959350748273165,24.6006988448411
"ENRIQ_36_S37_L001","ENRIQ_36","FS",3,"FS_3","T_24","FS_T_24",202,3.86484078407107,0.95832569510866,23.9956011889667
"ENRIQ_4_S5_L001","ENRIQ_4","F",1,"F_1","T_0","F_T_0",126,3.92121462756236,0.968311776404107,31.5574647778491
"ENRIQ_5_S6_L001","ENRIQ_5","F",2,"F_2","T_0","F_T_0",117,3.88206091030596,0.967134289014113,30.4268482257816
"ENRIQ_6_S7_L001","ENRIQ_6","F",3,"F_3","T_0","F_T_0",129,3.94325522382977,0.968112962464438,31.3607057063468
"ENRIQ_7_S8_L001","ENRIQ_7","S",1,"S_1","T_0","S_T_0",114,3.81447079095661,0.964550832838828,28.2094074440012
"ENRIQ_8_S9_L001","ENRIQ_8","S",2,"S_2","T_0","S_T_0",118,3.8555240387243,0.966358930958154,29.7255714066672
"ENRIQ_9_S10_L001","ENRIQ_9","S",3,"S_3","T_0","S_T_0",217,4.23773816816214,0.974530068429564,39.2619822018187
